TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;3,55;;-6,72;0,51;0,18;26,83;9,47;-6,49;4,61;7,71;3,10;0,34;0,44;123,69;-0,24;1,01;-7,54;-2,66;5,63;0,35;0,64;0,41;2,55;;138.423,86;7,00;-0,53;0,13;540.876.161,10
ABCB4;24,50;10,69;6,34;0,89;0,10;15,81;14,70;12,20;5,26;5,26;;;0,77;-2,08;-0,10;0,26;14,08;1,50;;0,11;0,89;0,12;28,96;24,19;18.764.268,00;27,43;3,86;1,88;6.384.726.484,50
ABEV3;16,32;5,26;16,51;2,85;1,80;51,48;26,87;17,66;10,86;10,16;-0,70;-0,18;2,92;220,05;-2,57;1,03;17,28;10,91;21,10;0,63;0,36;0,62;8,61;6,48;513.756.585,19;5,72;0,99;2,08;257.263.010.988,48
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;2,29;;-0,15;-0,17;0,09;-6,13;-83,80;-147,32;-0,26;-3,73;-3,47;;0,22;-0,79;-0,13;0,69;-112,94;-62,35;-66,14;-0,55;1,55;0,42;-19,51;;83.649,25;-13,47;-15,21;0,03;142.255.248,84
AESB3;8,12;;-21,02;1,83;0,42;27,29;23,39;-9,44;8,48;18,40;9,93;2,15;1,98;-11,75;-0,49;0,79;-8,72;-2,02;4,23;0,23;0,71;0,21;;;13.684.494,00;4,43;-0,39;2,77;8.367.914.180,36
AFLT3;7,62;5,03;14,63;1,85;1,31;81,47;71,10;51,35;10,57;10,15;-0,41;-0,07;7,51;6,47;-2,01;2,39;12,62;8,97;11,60;0,71;0,29;0,17;6,47;11,92;2.687,56;4,13;0,52;2,02;480.705.414,00
AGRO3;18,78;4,01;-130,42;0,94;0,50;12,72;-1,76;-1,54;-114,32;-194,33;-80,02;0,66;2,01;5,00;-0,74;1,47;-0,72;-0,39;-3,64;0,53;0,47;0,25;10,70;;3.936.634,24;19,88;-0,14;1,24;1.928.395.078,32
AGXY3;1,85;;0,03;-0,19;0,02;-1,14;39,74;70,06;0,05;1,41;1,36;;0,02;0,07;-0,03;2,19;-661,54;55,38;83,66;-0,08;1,08;0,79;24,29;123,15;51.477,60;-9,78;64,68;0,00;35.093.706,35
AHEB3;23,90;;4,12;0,70;0,34;18,50;10,33;8,96;3,57;2,20;-1,44;-0,28;0,37;1,34;-0,60;2,45;16,94;8,27;15,74;0,49;0,51;0,92;21,70;;3.082,86;34,23;5,80;-0,07;208.429.195,30
AHEB5;58,00;;10,00;1,69;0,83;18,50;10,33;8,96;8,67;2,20;-1,44;-0,28;0,90;3,25;-1,45;2,45;16,94;8,27;15,74;0,49;0,51;0,92;21,70;;0,00;34,23;5,80;-0,18;208.429.195,30
AHEB6;55,00;;9,49;1,61;0,78;18,50;10,33;8,96;8,23;2,20;-1,44;-0,28;0,85;3,08;-1,38;2,45;16,94;8,27;15,74;0,49;0,51;0,92;21,70;;;34,23;5,80;-0,17;208.429.195,30
ALLD3;5,72;20,25;1,60;0,36;0,16;11,75;9,41;6,26;1,07;1,33;0,26;0,09;0,10;0,53;-0,58;1,74;22,27;10,10;18,12;0,45;0,55;1,61;3,11;15,35;1.910.833,60;16,02;3,57;0,01;548.899.985,92
ALOS3;28,21;9,07;17,18;1,10;0,57;73,41;52,49;28,81;9,43;8,00;-1,43;-0,17;4,95;7,52;-0,65;2,81;6,39;3,33;11,37;0,52;0,48;0,12;29,09;37,40;146.898.134,33;25,71;1,64;-4,32;14.223.226.614,87
ALPA3;10,51;4,68;11,59;2,08;1,14;52,49;14,46;13,17;10,56;12,22;0,71;0,14;1,53;5,64;-2,20;1,73;17,90;9,85;13,55;0,55;0,45;0,75;6,29;34,59;77.625,85;5,06;0,91;0,05;7.828.296.350,59
ALPA4;12,40;4,36;13,68;2,45;1,35;52,49;14,46;13,17;12,46;12,22;0,71;0,14;1,80;6,66;-2,59;1,73;17,90;9,85;13,55;0,55;0,45;0,75;6,29;34,59;28.265.848,80;5,06;0,91;0,06;7.828.296.350,59
ALPK3;4,49;0,17;72,76;2,72;0,38;30,29;13,90;0,70;3,65;8,31;4,66;3,48;0,51;-11,94;-0,47;0,86;3,74;0,52;13,52;0,14;0,86;0,75;23,59;;772.094,25;1,65;0,06;-0,18;984.682.741,17
ALUP11;32,57;2,58;9,63;1,16;0,31;66,96;67,25;25,17;3,60;6,73;3,13;1,00;2,42;1,86;-0,41;3,30;12,00;3,25;9,07;0,27;0,63;0,13;-6,46;3,42;35.302.616,86;28,17;3,38;-7,22;10.735.947.058,19
ALUP3;12,39;2,26;10,99;1,32;0,36;66,96;67,25;25,17;4,11;6,73;3,13;1,00;2,77;2,12;-0,47;3,30;12,00;3,25;9,07;0,27;0,63;0,13;-6,46;3,42;60.863,67;9,39;1,13;-8,24;10.735.947.058,19
ALUP4;10,23;2,74;9,07;1,09;0,29;66,96;67,25;25,17;3,40;6,73;3,13;1,00;2,28;1,75;-0,39;3,30;12,00;3,25;9,07;0,27;0,63;0,13;-6,46;3,42;184.176,10;9,39;1,13;-6,80;10.735.947.058,19
AMAR3;0,64;;-2,08;2,55;0,16;52,58;10,01;-10,75;2,23;7,71;5,48;6,27;0,22;-0,74;-0,22;0,56;-122,78;-7,76;15,07;0,06;0,94;0,72;-7,06;;143.147,05;0,25;-0,31;0,49;328.650.433,28
AMBP3;0,17;;-1,11;0,26;0,02;18,22;17,36;-3,54;0,23;5,28;5,06;5,81;0,04;0,06;-0,03;2,72;-23,47;-1,52;8,91;0,06;0,87;0,43;67,64;;765.277,15;0,65;-0,15;0,06;283.971.177,30
AMER3;5,05;;1,83;0,23;0,06;26,50;3,34;4,49;2,45;6,14;3,69;0,34;0,08;0,36;-0,12;1,56;12,51;3,43;4,51;0,27;0,73;0,76;3,98;;8.886.172,38;22,12;2,77;-0,02;1.011.238.653,90
AMOB3;14,17;;;;;3,60;-46,82;-57,58;;;-0,01;;;;;0,19;-2.595,29;-6.030,26;2.660,36;-2,32;3,32;104,73;;;622.667,50;;;;0,00
ANIM3;3,30;2,46;9,93;0,56;0,13;63,13;24,93;3,27;1,30;5,35;4,05;1,73;0,32;1,04;-0,17;1,90;5,62;1,27;11,57;0,23;0,72;0,39;23,12;;23.754.128,95;5,92;0,33;0,64;1.332.767.056,50
APER3;46,75;;-32,82;2,02;1,01;100,00;6,60;-8,16;40,57;43,31;2,74;0,14;2,68;115,28;-1,38;1,03;-6,15;-3,09;2,91;0,50;0,50;0,38;29,52;;51.166,00;23,16;-1,42;0,16;953.269.946,75
